781.18	971.69
237.38	918.36
994.11	224.86
212.33	714.51
979.01	899.66
407.45	633.5
644.42	306.5
293.57	472.21
88.7	29.51
819.69	236.82
45.35	318.12
144.61	821.12
893.05	39.82
744	296.64
168.65	754.13
802.26	679.9
392.12	883.87
297.32	346.33
937.69	875.16
569.91	504.39
650.42	589.54
452.29	333.03
354.24	562.28
382.44	104.63
700.55	507.33
245.63	546.86
262.95	804.78
897.2	824.33
30.96	330.86
202.48	752.88
106.44	974.77
768.97	233.12
903.28	765
604.8	404.08
323.08	824.65
795.6	807.96
653	540.36
646.54	182.19
568.95	755.13
100.53	542.56
637.51	954.96
630.29	2.68
296.68	965.84
818.44	350.19
649.03	197.84
615.26	617.28
512.69	8.59
594.73	439.52
629.2	252.48
620.9	163.27
283.54	243.63
276.13	243.91
990.46	532.6
28.75	137.68
389.14	563.81
798.4	640.06
64.95	541.08
586.54	604.98
447.21	199.67
284.71	619.11
415.7	295.78
784.15	875.14
376.87	913.14
823.39	863.73
113.84	967.56
711.78	441.97
461.92	216.36
489.61	691.28
196.86	476.18
250.3	807.03
527.01	653.96
637.21	792.95
638.16	6.77
538.5	488.59
428.92	178.5
28.89	936.1
318.73	715.28
107.03	293.78
375.13	507.78
598.9	489.86
88.9	79.14
813.38	89.38
526.21	792.49
126.32	485.77
657.76	941.52
393.48	899.78
726.68	821.82
585.28	709.25
936	15.36
546.94	52.22
238.63	809
188.99	271.25
559.09	665.77
874.64	134.22
917.2	674.95
96.04	970.07
40.18	763.38
957.64	689.38
802.78	610.8
445.87	917.31
332.72	24.64
748.7	229.9
889.67	2.41
733.01	46.2
118.9	257.74
376.62	36.07
703.56	673.38
100.96	794.99
812.94	231.71
9.79	458.89
241.74	253.34
13.04	870.19
408.03	897.08
974.99	139.01
157.07	76.2
873.25	648.52
707.64	431.6
105.13	752.26
932.57	435.78
554.88	281.08
510.14	509.19
769.22	272.64
543.23	297.76
194.33	861.39
45.87	261.8
350.44	647.84
967.05	49.85
343.36	668.69
742.26	756.74
806.21	585.67
876.4	436.2
123.29	602.23
963.95	733.4
201.13	596.47
800.12	967.09
225.61	122.04
157.99	418.93
4.46	496.26
825.97	833.34
20.12	522.86
547.88	869.86
97.29	661.39
172.6	748.83
308.9	774.56
139.9	115.95
930.08	356.51
680.22	650.52
926.95	166.79
906.44	35.46
168.36	406.26
455.31	233.32
553.95	880.71
19.85	528.51
834.8	77.22
218.72	43.68
280.19	372.38
475.15	953.26
865.91	937.81
692.11	672.07
774.32	588.11
37.4	613.51
256.72	47.25
132.13	186.98
294.22	849.88
291.51	724.48
542.18	207.98
207.36	348.21
726.67	422.56
515.12	841.42
410.56	8.86
157.04	303.42
465.87	309.9
322.75	477.49
